name,Area,Circulality,Equal_Diameter,Shortest_Length,Longest_Length,Perimeter,Aspect_Ratio,Elevation,Angle,"Site (Gully = 0, Wall = 1)"
6046,2.644,14.796,5.288,6.580,3.711,3.773,7.471,637.000,13.000,0.000
6047,2.272,17.096,4.543,4.640,3.415,3.635,8.284,637.000,13.000,0.000
6048,2.047,12.408,4.094,4.104,3.300,3.019,6.658,637.000,13.000,0.000
6050,1.673,21.118,3.345,3.362,3.221,3.301,11.000,637.000,13.000,1.000
6051,2.830,22.903,5.660,5.293,5.156,5.562,8.031,637.000,13.000,1.000
6052,2.128,15.505,4.257,4.220,3.547,3.578,6.443,637.000,13.000,1.000
6054,2.030,18.140,4.060,3.981,3.721,3.953,8.230,637.000,13.000,1.000
6055,3.450,25.604,6.901,6.352,6.851,6.847,7.331,637.000,13.000,1.000
6057,2.885,14.928,5.771,5.357,5.534,5.607,7.799,559.000,30.000,0.000
6058,2.310,16.063,4.620,4.931,3.997,4.316,7.046,559.000,30.000,0.000
6060,3.369,16.933,6.738,6.334,5.910,6.483,9.156,537.000,32.000,0.000
6061,2.700,19.528,5.400,5.702,4.194,5.025,6.862,537.000,32.000,0.000
6063,2.859,18.010,5.717,5.168,5.615,5.185,9.918,537.000,32.000,1.000
6064,2.411,17.801,4.821,5.010,4.206,4.522,8.409,537.000,32.000,1.000
6065,2.423,14.991,4.846,4.793,3.368,3.726,6.891,537.000,32.000,1.000
6067,2.241,16.213,4.482,5.126,3.920,4.152,6.982,537.000,32.000,1.000
6068,2.718,17.132,5.435,5.110,4.521,5.125,7.706,537.000,32.000,1.000
6069,2.013,11.325,4.025,4.289,3.059,2.931,6.360,537.000,32.000,1.000
6071,4.295,19.999,8.590,8.565,6.555,7.921,9.147,502.000,18.000,0.000
6073,2.835,18.277,5.670,5.709,3.998,4.451,7.185,502.000,18.000,0.000
6074,1.954,14.788,3.908,3.966,3.285,3.238,6.347,502.000,18.000,0.000
6076,2.436,23.179,4.873,4.997,4.408,4.545,9.128,502.000,18.000,1.000
6077,2.774,15.355,5.547,5.153,4.980,5.426,7.558,502.000,18.000,1.000
6078,2.108,19.215,4.216,4.231,3.692,4.098,7.724,502.000,18.000,1.000
6080,2.208,25.315,4.416,4.000,4.849,4.282,10.417,396.000,6.000,0.000
6081,2.651,18.482,5.302,5.104,4.656,4.917,7.881,396.000,6.000,0.000
6082,2.122,13.030,4.243,4.737,3.033,3.384,6.680,396.000,6.000,0.000
6084,3.043,18.379,6.087,7.591,4.865,5.523,12.580,396.000,6.000,1.000
6085,2.725,19.383,5.450,5.445,4.707,5.273,8.016,396.000,6.000,1.000
6086,1.778,18.542,3.555,3.655,3.050,3.434,7.336,396.000,6.000,1.000