name,Aspect_Ratio,Circulality,Equal_Diameter,Shortest_Length,Longest_Length,Perimeter,Area
6046,7.471,14.796,5.288,6.580,3.711,3.773,2.644
6047,8.284,17.096,4.543,4.640,3.415,3.635,2.272
6048,6.658,12.408,4.094,4.104,3.300,3.019,2.047
6050,11.000,21.118,3.345,3.362,3.221,3.301,1.673
6051,8.031,22.903,5.660,5.293,5.156,5.562,2.830
6052,6.443,15.505,4.257,4.220,3.547,3.578,2.128
6054,8.230,18.140,4.060,3.981,3.721,3.953,2.030
6055,7.331,25.604,6.901,6.352,6.851,6.847,3.450
6057,7.799,14.928,5.771,5.357,5.534,5.607,2.885
6058,7.046,16.063,4.620,4.931,3.997,4.316,2.310
6060,9.156,16.933,6.738,6.334,5.910,6.483,3.369
6061,6.862,19.528,5.400,5.702,4.194,5.025,2.700
6063,9.918,18.010,5.717,5.168,5.615,5.185,2.859
6064,8.409,17.801,4.821,5.010,4.206,4.522,2.411
6065,6.891,14.991,4.846,4.793,3.368,3.726,2.423
6067,6.982,16.213,4.482,5.126,3.920,4.152,2.241
6068,7.706,17.132,5.435,5.110,4.521,5.125,2.718
6069,6.360,11.325,4.025,4.289,3.059,2.931,2.013
6071,9.147,19.999,8.590,8.565,6.555,7.921,4.295
6073,7.185,18.277,5.670,5.709,3.998,4.451,2.835
6074,6.347,14.788,3.908,3.966,3.285,3.238,1.954
6076,9.128,23.179,4.873,4.997,4.408,4.545,2.436
6077,7.558,15.355,5.547,5.153,4.980,5.426,2.774
6078,7.724,19.215,4.216,4.231,3.692,4.098,2.108
6080,10.417,25.315,4.416,4.000,4.849,4.282,2.208
6081,7.881,18.482,5.302,5.104,4.656,4.917,2.651
6082,6.680,13.030,4.243,4.737,3.033,3.384,2.122
6084,12.580,18.379,6.087,7.591,4.865,5.523,3.043
6085,8.016,19.383,5.450,5.445,4.707,5.273,2.725
6086,7.336,18.542,3.555,3.655,3.050,3.434,1.778